time,lr,fb,ud,mag,raw
2026-05-18 16:07:27.254,-3.30,4.30,7.20,9.10,A:-33;43;72;91
2026-05-18 16:07:27.792,-6.30,3.50,4.90,8.70,A:-63;35;49;87
2026-05-18 16:07:28.278,-2.50,0.80,8.70,9.10,A:-25;8;87;91
2026-05-18 16:07:28.764,-0.90,0.40,9.60,9.70,A:-9;4;96;97
2026-05-18 16:07:29.251,0.60,1.70,8.90,9.10,A:6;17;89;91
2026-05-18 16:07:29.789,1.10,1.70,9.10,9.30,A:11;17;91;93
2026-05-18 16:07:30.274,0.40,3.20,8.50,9.10,A:4;32;85;91
2026-05-18 16:07:30.764,0.00,4.20,8.30,9.30,A:0;42;83;93
2026-05-18 16:07:31.252,0.00,0.10,9.00,9.00,A:0;1;90;90
2026-05-18 16:07:31.787,-0.90,-1.30,9.60,9.70,A:-9;-13;96;97
2026-05-18 16:07:32.273,-0.30,-0.10,8.90,8.90,A:-3;-1;89;89
2026-05-18 16:07:32.759,0.70,1.70,9.20,9.30,A:7;17;92;93
2026-05-18 16:07:33.250,1.00,1.70,9.20,9.40,A:10;17;92;94
2026-05-18 16:07:33.787,0.40,1.10,9.40,9.50,A:4;11;94;95
2026-05-18 16:07:34.273,0.20,1.30,9.20,9.30,A:2;13;92;93
2026-05-18 16:07:34.762,0.80,1.10,9.40,9.50,A:8;11;94;95
2026-05-18 16:07:35.248,0.40,0.90,9.40,9.50,A:4;9;94;95
2026-05-18 16:07:35.784,0.60,1.10,9.10,9.20,A:6;11;91;92
2026-05-18 16:07:36.271,0.70,1.00,9.30,9.40,A:7;10;93;94
2026-05-18 16:07:36.760,0.60,1.00,9.30,9.40,A:6;10;93;94
2026-05-18 16:07:37.297,0.60,1.00,9.30,9.40,A:6;10;93;94
2026-05-18 16:07:37.783,0.60,1.00,9.20,9.30,A:6;10;92;93
2026-05-18 16:07:38.273,0.60,1.00,9.40,9.50,A:6;10;94;95
2026-05-18 16:07:38.757,0.70,1.00,9.30,9.40,A:7;10;93;94
2026-05-18 16:07:39.293,0.70,1.00,9.20,9.30,A:7;10;92;93
2026-05-18 16:07:39.782,0.70,1.00,9.30,9.40,A:7;10;93;94
2026-05-18 16:07:40.272,0.70,1.10,9.20,9.30,A:7;11;92;93
2026-05-18 16:07:40.757,0.60,1.10,9.30,9.40,A:6;11;93;94
2026-05-18 16:07:41.295,0.70,-0.60,10.00,10.00,A:7;-6;100;100
2026-05-18 16:07:41.782,0.20,1.50,8.80,9.00,A:2;15;88;90
2026-05-18 16:07:42.267,0.20,0.60,9.60,9.70,A:2;6;96;97
2026-05-18 16:07:42.755,0.60,0.20,10.70,10.70,A:6;2;107;107
2026-05-18 16:07:43.292,0.70,0.50,9.30,9.30,A:7;5;93;93
2026-05-18 16:07:43.780,0.90,0.00,9.80,9.90,A:9;0;98;99
2026-05-18 16:07:44.266,1.00,0.70,9.50,9.60,A:10;7;95;96
2026-05-18 16:07:44.755,0.50,5.10,8.70,10.10,A:5;51;87;101
2026-05-18 16:07:45.291,-0.70,2.90,8.80,9.30,A:-7;29;88;93
2026-05-18 16:07:45.780,0.90,0.60,10.10,10.10,A:9;6;101;101
2026-05-18 16:07:46.266,-1.30,8.70,7.80,11.70,A:-13;87;78;117
2026-05-18 16:07:46.755,0.90,2.20,9.10,9.40,A:9;22;91;94
2026-05-18 16:07:47.289,0.80,1.00,9.10,9.20,A:8;10;91;92
2026-05-18 16:07:47.777,0.50,1.60,9.20,9.40,A:5;16;92;94
2026-05-18 16:07:48.262,0.60,8.30,9.60,12.70,A:6;83;96;127
2026-05-18 16:07:48.750,0.00,1.90,8.60,8.80,A:0;19;86;88
2026-05-18 16:07:49.291,0.30,-1.20,9.70,9.80,A:3;-12;97;98
2026-05-18 16:07:49.776,-0.30,6.10,9.80,11.60,A:-3;61;98;116
2026-05-18 16:07:50.264,0.00,1.20,9.40,9.50,A:0;12;94;95
2026-05-18 16:07:50.752,0.00,0.40,9.70,9.70,A:0;4;97;97
2026-05-18 16:07:51.288,0.90,0.80,9.10,9.20,A:9;8;91;92
2026-05-18 16:07:51.774,0.70,0.60,9.30,9.40,A:7;6;93;94
2026-05-18 16:07:52.263,0.70,0.70,9.10,9.20,A:7;7;91;92
2026-05-18 16:07:52.751,0.60,0.70,9.20,9.20,A:6;7;92;92
2026-05-18 16:07:53.286,0.70,0.80,9.30,9.40,A:7;8;93;94
2026-05-18 16:07:53.775,0.70,0.80,9.20,9.20,A:7;8;92;92
2026-05-18 16:07:54.259,1.40,0.70,9.30,9.50,A:14;7;93;95
2026-05-18 16:07:54.748,3.90,0.00,9.10,9.90,A:39;0;91;99
2026-05-18 16:07:55.279,-1.00,2.10,8.30,8.60,A:-10;21;83;86
2026-05-18 16:07:55.771,-6.20,2.50,6.20,9.10,A:-62;25;62;91
2026-05-18 16:07:56.259,1.20,1.90,9.10,9.40,A:12;19;91;94
2026-05-18 16:07:56.796,6.40,-0.30,7.70,10.00,A:64;-3;77;100
2026-05-18 16:07:57.283,1.10,1.50,9.20,9.40,A:11;15;92;94
2026-05-18 16:07:57.773,-5.10,3.40,5.70,8.40,A:-51;34;57;84
2026-05-18 16:07:58.258,0.30,1.30,10.00,10.10,A:3;13;100;101
2026-05-18 16:07:58.797,1.50,1.40,8.90,9.10,A:15;14;89;91
2026-05-18 16:07:59.281,4.60,2.80,8.00,9.70,A:46;28;80;97
2026-05-18 16:07:59.772,6.80,3.50,6.60,10.10,A:68;35;66;101
2026-05-18 16:08:00.257,7.30,4.70,0.70,8.80,A:73;47;7;88
2026-05-18 16:08:00.794,7.60,4.30,3.70,9.50,A:76;43;37;95
2026-05-18 16:08:01.283,6.80,5.90,2.90,9.50,A:68;59;29;95
2026-05-18 16:08:01.770,7.20,6.00,3.10,9.90,A:72;60;31;99
2026-05-18 16:08:02.256,4.10,1.90,8.80,9.90,A:41;19;88;99
2026-05-18 16:08:02.794,1.30,2.00,8.30,8.70,A:13;20;83;87
2026-05-18 16:08:03.279,0.90,1.80,10.40,10.60,A:9;18;104;106
2026-05-18 16:08:03.768,1.20,2.70,8.70,9.20,A:12;27;87;92
2026-05-18 16:08:04.254,1.20,0.40,9.10,9.20,A:12;4;91;92
2026-05-18 16:08:04.793,0.40,1.00,9.40,9.40,A:4;10;94;94
2026-05-18 16:08:05.279,-0.10,1.30,9.10,9.20,A:-1;13;91;92
2026-05-18 16:08:05.767,-0.30,1.20,9.80,9.80,A:-3;12;98;98
2026-05-18 16:08:06.254,0.00,1.10,9.20,9.20,A:0;11;92;92
2026-05-18 16:08:06.790,0.00,1.10,9.00,9.10,A:0;11;90;91
2026-05-18 16:08:07.278,0.10,0.80,9.40,9.40,A:1;8;94;94
2026-05-18 16:08:07.763,0.20,0.90,9.40,9.50,A:2;9;94;95
2026-05-18 16:08:08.249,0.20,1.00,9.40,9.50,A:2;10;94;95
2026-05-18 16:08:08.789,-0.80,1.00,9.50,9.60,A:-8;10;95;96
2026-05-18 16:08:09.276,-0.10,1.30,9.20,9.30,A:-1;13;92;93
2026-05-18 16:08:09.764,-0.10,1.20,9.10,9.20,A:-1;12;91;92
2026-05-18 16:08:10.251,-0.60,1.60,9.10,9.30,A:-6;16;91;93
2026-05-18 16:08:10.785,-0.90,1.80,9.10,9.30,A:-9;18;91;93
2026-05-18 16:08:11.276,-1.00,1.80,9.00,9.30,A:-10;18;90;93
2026-05-18 16:08:11.764,-0.80,1.80,8.90,9.20,A:-8;18;89;92
2026-05-18 16:08:12.249,-0.90,2.00,8.80,9.10,A:-9;20;88;91
2026-05-18 16:08:12.787,-0.70,2.10,8.60,8.90,A:-7;21;86;89
2026-05-18 16:08:13.275,1.40,0.60,9.50,9.60,A:14;6;95;96
2026-05-18 16:08:13.761,-2.80,4.50,7.30,9.00,A:-28;45;73;90
2026-05-18 16:08:14.251,-4.10,4.50,6.20,8.70,A:-41;45;62;87
2026-05-18 16:08:14.786,-0.20,2.60,9.20,9.50,A:-2;26;92;95
2026-05-18 16:08:15.274,3.50,1.00,8.70,9.50,A:35;10;87;95
2026-05-18 16:08:15.760,5.00,-0.20,8.40,9.80,A:50;-2;84;98
2026-05-18 16:08:16.247,2.80,2.60,7.60,8.60,A:28;26;76;86
